,City,Direct_flights_count
937,Karlovy Vary,5
938,Ostrava,4
939,Pardubice,2
940,Prague,180
941,Aalborg,20
942,Aarhus,8
943,Billund,47
944,Copenhagen,229
945,Esbjerg,2
946,Karup,1
947,Ronne,1
948,Soenderborg,1
949,Djibouti,23
950,Dominica,17
951,La Isabela,3
952,La Romana,10
953,Puerto Plata,16
954,Punta Cana,73
955,Samana,6
956,Santiago,11
957,Santo Domingo,45
958,Dili,4
959,Coca,3
960,Cuenca,3
961,Esmeraldas,3
962,Galapagos,2
963,Guayaquil,35
964,La Toma (Catamayo),2
965,Latacunga,2
966,Macas,1
967,Manta,1
968,Quito,39
969,San Cristóbal,4
970,Santa Rosa,1
971,Tena,1
972,Abu Simbel,1
973,Alexandria,42
974,Aswan,4
975,Asyut,6
976,Cairo,151
977,Hurghada,40
978,Luxor,10
979,Marsa Alam,6
980,Sharm El Sheikh,38
981,Sohag,9
982,San Salvador,53
983,Bata,2
984,Malabo,14
985,Asmara,7
986,Massawa,1
987,Kuressaare,1
988,Tallinn-ulemiste International,38
989,Tartu,2
990,Addis Ababa,105
991,Arba Minch,1
992,Asosa,1
993,Axum,2
994,Bahar Dar,2
995,Dire Dawa,3
996,Gambella,2
997,Gode,1
998,Gondar,2
999,Jijiga,3
1000,Jimma,2
1001,Lalibella,3
1002,Makale,3
1003,Mount Pleasant,1
1004,Vagar,4
1005,Cicia,1
1006,Lakeba Island,1
1007,Lambasa,2
1008,Matei,3
1009,Nandi,43
1010,Nausori,12
1011,Rotuma,1
1012,Savusavu,3
1013,Vanua Balavu,1
1014,Vunisea,2
1015,Helsinki,159
1016,Ivalo,2
1017,Joensuu,1
1018,Jyvaskyla,3
1019,Kajaani,2
1020,Kemi,2
1021,Kittila,2
1022,Kruunupyy,3
1023,Kuopio,1
1024,Kuusamo,1
1025,Lappeenranta,3
1026,Mariehamn,4
1027,Oulu,4
1028,Pori,3
1029,Rovaniemi,2
1030,Savonlinna,2
1031,Tampere,12
1032,Turku,8
1033,Vaasa,5
1034,Agen,2
1035,Ajaccio,39
1036,Angouleme,1
1037,Aurillac,1
1038,Avignon,2
1039,Bastia,36
1040,Beauvais,60
1041,Bergerac,11
1042,Beziers,9
1043,Biarritz-bayonne,14
1044,Bordeaux,67
1045,Brest,17
1046,Brive,5
1047,Caen,4
