,Source_airport,Destination_airport
1321,JNX,2
1322,JNZ,5
1323,JOE,1
1324,JOG,29
1325,JOI,5
1326,JOL,1
1327,JOS,1
1328,JPA,11
1329,JPR,2
1330,JQA,2
1331,JQE,1
1332,JRO,20
1333,JSH,5
1334,JSI,2
1335,JSR,3
1336,JST,2
1337,JSU,2
1338,JSY,2
1339,JTC,3
1340,JTR,15
1341,JTY,4
1342,JUB,12
1343,JUH,7
1344,JUJ,2
1345,JUK,1
1346,JUL,7
1347,JUU,2
1348,JUV,9
1349,JUZ,6
1350,JXA,6
1351,JYV,3
1352,JZH,16
1353,KAA,1
1354,KAD,1
1355,KAE,1
1356,KAJ,2
1357,KAL,3
1358,KAN,7
1359,KAO,1
1360,KAT,1
1361,KAW,1
1362,KAZ,1
1363,KBC,1
1364,KBL,28
1365,KBP,102
1366,KBR,14
1367,KBU,2
1368,KBV,16
1369,KCA,2
1370,KCC,2
1371,KCG,1
1372,KCH,26
1373,KCK,1
1374,KCL,1
1375,KCM,3
1376,KCO,1
1377,KCQ,1
1378,KCT,2
1379,KCZ,4
1380,KDH,5
1381,KDI,4
1382,KDM,2
1383,KDO,2
1384,KDU,1
1385,KDV,2
1386,KEF,45
1387,KEJ,3
1388,KEM,2
1389,KEP,1
1390,KER,4
1391,KET,1
1392,KEW,1
1393,KFP,1
1394,KFS,1
1395,KGA,3
1396,KGC,1
1397,KGD,15
1398,KGE,2
1399,KGF,7
1400,KGI,5
1401,KGL,40
1402,KGP,1
1403,KGQ,2
1404,KGS,43
1405,KGT,1
1406,KGX,3
1407,KHD,1
1408,KHG,13
1409,KHH,65
1410,KHI,62
1411,KHN,86
1412,KHQ,2
1413,KHS,1
1414,KHV,38
1415,KHY,1
1416,KHZ,1
1417,KID,1
1418,KIF,2
1419,KIH,16
1420,KIJ,16
1421,KIM,2
1422,KIN,30
1423,KIR,6
1424,KIS,3
1425,KIT,4
1426,KIV,34
1427,KIX,152
1428,KJA,45
1429,KKA,5
1430,KKB,1
1431,KKC,2
1432,KKE,1
1433,KKH,3
1434,KKI,3
1435,KKJ,3
1436,KKN,7
1437,KKR,1
1438,KLG,4
1439,KLL,1
1440,KLN,1
1441,KLO,18
1442,KLR,3
1443,KLU,7
1444,KLV,5
1445,KLW,3
1446,KLX,10
1447,KME,1
1448,KMG,273
1449,KMI,11
1450,KMJ,9
1451,KMQ,17
1452,KMS,4
1453,KND,2
1454,KNG,3
1455,KNH,5
1456,KNQ,1
1457,KNS,2
1458,KNU,1
1459,KNX,8
1460,KOA,20
1461,KOC,2
1462,KOE,10
1463,KOI,11
1464,KOJ,18
1465,KOK,3
1466,KOO,1
1467,KOP,2
1468,KOS,1
1469,KOT,3
1470,KOV,2
1471,KOW,13
1472,KOZ,2
1473,KPB,1
1474,KPN,3
1475,KPO,3
1476,KPV,1
1477,KQA,1
1478,KQT,4
1479,KRF,4
1480,KRK,57
1481,KRL,10
1482,KRN,3
1483,KRO,2
1484,KRP,1
1485,KRR,46
1486,KRS,11
1487,KRT,41
1488,KRY,2
1489,KSA,2
1490,KSC,6
1491,KSD,2
1492,KSE,1
1493,KSF,2
1494,KSH,6
1495,KSJ,4
1496,KSM,5
1497,KSN,3
1498,KSO,1
1499,KSQ,5
1500,KSU,7
1501,KSY,3
1502,KTA,7
1503,KTB,4
1504,KTE,2
1505,KTG,2
1506,KTL,1
1507,KTM,44
1508,KTN,22
1509,KTS,4
1510,KTT,2
1511,KTW,28
1512,KUA,5
1513,KUD,2
1514,KUF,27
1515,KUH,5
1516,KUK,2
1517,KUL,257
1518,KUN,19
1519,KUO,1
1520,KUS,5
1521,KUT,8
1522,KUU,1
1523,KUV,2
1524,KUZ,1
1525,KVA,6
1526,KVC,1
1527,KVD,4
1528,KVG,4
1529,KVK,1
1530,KVL,3
1531,KVX,3
1532,KWA,3
1533,KWE,137
1534,KWF,1
1535,KWI,120
1536,KWJ,4
1537,KWK,4
1538,KWL,107
1539,KWM,2
1540,KWN,4
1541,KWT,3
1542,KXU,1
1543,KYA,3
1544,KYP,1
1545,KYU,2
1546,KYZ,1
1547,KZN,28
1548,KZO,4
1549,KZR,1
1550,KZS,2
1551,LAD,46
1552,LAE,11
1553,LAI,1
1554,LAM,1
1555,LAN,8
1556,LAO,2
1557,LAP,10
1558,LAQ,3
1559,LAR,1
1560,LAS,246
1561,LAU,4
1562,LAW,2
1563,LAX,492
1564,LAZ,1
1565,LBA,80
1566,LBB,10
1567,LBC,4
1568,LBD,33
1569,LBE,3
1570,LBF,1
1571,LBJ,4
1572,LBL,6
1573,LBP,1
1574,LBS,2
1575,LBU,4
1576,LBV,24
1577,LCA,93
1578,LCE,8
1579,LCG,12
1580,LCH,3
1581,LCK,2
1582,LCR,2
1583,LCX,1
1584,LCY,62
1585,LDB,11
1586,LDE,5
1587,LDH,3
1588,LDS,2
1589,LDU,1
1590,LDY,5
1591,LEA,3
1592,LEB,2
1593,LEC,1
1594,LED,184
1595,LEH,1
1596,LEI,18
1597,LEJ,40
1598,LEN,1
1599,LEQ,1
1600,LET,6
1601,LEX,20
1602,LFM,3
1603,LFR,1
1604,LFT,6
1605,LFW,20
1606,LGA,158
1607,LGB,18
1608,LGG,9
1609,LGI,2
1610,LGK,17
1611,LGL,2
1612,LGP,4
1613,LGQ,1
1614,LGW,356
1615,LHE,56
1616,LHR,527
1617,LHW,84
1618,LIF,3
1619,LIG,11
1620,LIH,21
1621,LIL,40
1622,LIM,115
1623,LIN,60
1624,LIR,24
1625,LIS,214
1626,LIT,29
1627,LJA,1
1628,LJG,65
1629,LJU,33
1630,LKB,1
1631,LKE,3
1632,LKG,1
1633,LKH,2
1634,LKL,1
1635,LKN,3
1636,LKO,18
1637,LLA,6
1638,LLB,1
1639,LLF,3
1640,LLI,3
1641,LLK,2
1642,LLU,2
1643,LLW,12
1644,LMA,1
1645,LMC,1
1646,LMM,5
1647,LMN,1
1648,LMP,3
